"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3127","API + UI Product Validation","webkit","2026-03-30","passed","2026-03-30","","api-ui.spec.ts","",""
"","2313","Complete Checkout Flow @regression","chromium","2026-03-30","passed","2026-03-30","","checkout.spec.ts","",""
"","3134","Add Product To Cart @smoke","firefox","2026-03-30","passed","2026-03-30","","product.spec.ts","",""
"","1577","Add Product To Cart @smoke","chromium","2026-03-30","passed","2026-03-30","","product.spec.ts","",""
"","3275","Add Product To Cart @smoke","webkit","2026-03-30","passed","2026-03-30","","product.spec.ts","",""
"","2598","API + UI Product Validation","chromium","2026-03-30","passed","2026-03-30","","api-ui.spec.ts","",""
"","6261","Add Product To Cart @smoke","","2026-03-30","passed","2026-03-30","","product.spec.ts","",""
"","5879","Valid Login Test @smoke","firefox","2026-03-30","passed","2026-03-30","","login.spec.ts","",""
"","5936","Valid Login Test @smoke","","2026-03-30","passed","2026-03-30","","login.spec.ts","",""
"","7781","Logout Test @regression","","2026-03-30","passed","2026-03-30","","logout.spec.ts","",""
"","4832","Logout Test @regression","webkit","2026-03-30","passed","2026-03-30","","logout.spec.ts","",""
"","5180","API + UI Product Validation","firefox","2026-03-30","passed","2026-03-30","","api-ui.spec.ts","",""
"","3692","Valid Login Test @smoke","webkit","2026-03-30","passed","2026-03-30","","login.spec.ts","",""
"","3253","Logout Test @regression","chromium","2026-03-30","passed","2026-03-30","","logout.spec.ts","",""
"","7614","Complete Checkout Flow @regression","firefox","2026-03-30","passed","2026-03-30","","checkout.spec.ts","",""
"","7840","Logout Test @regression","firefox","2026-03-30","passed","2026-03-30","","logout.spec.ts","",""
"","5396","Complete Checkout Flow @regression","webkit","2026-03-30","passed","2026-03-30","","checkout.spec.ts","",""
"","2097","Valid Login Test @smoke","chromium","2026-03-30","passed","2026-03-30","","login.spec.ts","",""
"","6485","API + UI Product Validation","","2026-03-30","passed","2026-03-30","","api-ui.spec.ts","",""
"","9646","Complete Checkout Flow @regression","","2026-03-30","passed","2026-03-30","","checkout.spec.ts","",""
